election_date,anc,name
2010-11-02,1B11,E. Gail Anderson Holness
2012-11-06,1B10,Tony Norman
2012-11-06,1B11,E. Gail Anderson Holness
2012-11-06,1B12,Zahra Jilani
1979-11-06,1B13,No candidate
1979-11-06,1B14,James Miller
1979-11-06,1B15,Guy D. Charity
1981-11-03,1B13,No candidate
1984-11-06,1B13,Mary B. Sears
1986-11-04,1B13,Reese W. James
1988-11-08,1B13,Reese W. James
1990-11-06,1B13,Reese W. James
1979-11-06,1C01,Virginia M. Johnson
1979-11-06,1C02,Margaret M. Johnson
1979-11-06,1C03,No candidate
1981-11-03,1C01,Virginia M. Johnson
1981-11-03,1C02,Susan K. Green
1981-11-03,1C03,Ray Burnes
1984-11-06,1C01,Virginia M. Johnson
1984-11-06,1C02,David K. Hartley
1984-11-06,1C03,Kenneth B. Jacques
1986-11-04,1C01,Virginia M. Johnson
1986-11-04,1C02,David K. Hartley
1986-11-04,1C03,Emily Gumpert
1988-11-08,1C01,Virginia M. Johnson
1988-11-08,1C02,Grace Malakoff
1988-11-08,1C03,Karen Dauksis
1990-11-06,1C01,Virginia M. Johnson
1990-11-06,1C02,Grace Malakoff
1990-11-06,1C03,James P (Pat) Crane
1992-11-03,1C01,Virginia M. Johnson
1992-11-03,1C02,Jose Suerio
1992-11-03,1C03,Dey Barrios
1994-11-08,1C01,James R. Creel
1994-11-08,1C02,William Scheirer
1994-11-08,1C03,Bobby Pittman
1996-11-05,1C01,Linda E. Softli
1996-11-05,1C02,William Scheirer
1996-11-05,1C03,Daniel M. Horrigan
1998-11-03,1C01,Linda E. Softli
1998-11-03,1C02,Mark A. Wright
1998-11-03,1C03,Andrew James Miscuk
2000-11-07,1C01,Alan Roth
2000-11-07,1C02,Mark Wright
2000-11-07,1C03,Andrew James Miscuk
2002-11-05,1C01,Alan Roth
2002-11-05,1C02,Nikolaos Apostolides
2002-11-05,1C03,Bryan Weaver
2004-11-02,1C01,Alan Roth
2004-11-02,1C02,Jon Canty
2004-11-02,1C03,Bryan Weaver
2006-11-07,1C01,Barry Weise
2006-11-07,1C02,Emily Mechner
2006-11-07,1C03,Bryan Weaver
2008-11-04,1C01,Stacey Moye
2008-11-04,1C02,Chris Otten
2008-11-04,1C03,Bryan Weaver
2010-11-02,1C01,Stacey Moye
2010-11-02,1C02,Martis Davis
2010-11-02,1C03,Olivier Kamanda
2012-11-06,1C01,Brian Hart
2012-11-06,1C02,"Martis ""Marty"" Davis"
2012-11-06,1C03,Ted Guthrie
1979-11-06,1C04,Ann Hughes Hargrove
1979-11-06,1C05,Manuel B. Lopez
1979-11-06,1C06,No candidate
1981-11-03,1C04,Kenneth R. Jacques
1981-11-03,1C05,William G. Rogers
1981-11-03,1C06,Harry W. Baker
1984-11-06,1C04,Ken Hughes
1984-11-06,1C05,James Forman
1984-11-06,1C06,Willie P. Vazquez
1986-11-04,1C04,Dianna L. White
1986-11-04,1C05,Doris Green
1986-11-04,1C06,John Jones
1988-11-08,1C04,Barbara Helmick
1988-11-08,1C05,Peter M. Schott
1988-11-08,1C06,John Brooks
1990-11-06,1C04,Barbara Helmick
1990-11-06,1C05,Peter M. Schott
1990-11-06,1C06,John Jones
1992-11-03,1C04,Hazel C. Adams-Shango Damu Smith
1992-11-03,1C05,Steve Coleman
1994-11-08,1C04,Kent D. Pullian
1994-11-08,1C05,Kitty Cook
1994-11-08,1C06,Todd Mosley
1996-11-05,1C04,Sheila McCormick
1996-11-05,1C05,No candidate
1996-11-05,1C06,Todd Mosley
1998-11-03,1C04,No candidate
1998-11-03,1C05,James N.M. Whitman
1998-11-03,1C06,Eleanor Johnson
2000-11-07,1C04,Peter Schott
2000-11-07,1C05,Jobi Jovanka
2000-11-07,1C06,Eleanor Johnson
2002-11-05,1C04,Mindy Moretti
2002-11-05,1C05,Ken Levy
2002-11-05,1C06,Andrea Broaddus
2004-11-02,1C04,Mindy Moretti
2004-11-02,1C05,Andy Miscuk
2004-11-02,1C06,Graham King
2006-11-07,1C04,Mindy Moretti
2006-11-07,1C05,J. Michael Logsdon
2006-11-07,1C06,Nancy Shia
2008-11-04,1C04,Mindy Moretti
2008-11-04,1C05,J. Michael Logsdon
2008-11-04,1C06,Nancy Shia
2010-11-02,1C04,Gabriela Mossi
2010-11-02,1C05,No candidate
